FieldStrength(nT), Satellites, HDOP, Latitude(deg), Longitude(deg), Fix, Altitude(m), Hour, Minute, Second, Centisecond, day, month, year
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52049.18,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52049.18,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52049.18,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52049.18,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52356.55,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52049.18,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52254.10,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52151.64,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52766.39,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
53073.77,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52971.31,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52868.85,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52766.39,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52663.93,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52663.93,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52663.93,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52663.93,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52459.01,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
52561.48,0,9999,0.00,0.00,4294967295,0.00,0,0,0,0,0,0,2000
